IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
18896;Ueli;Werren;SUI;174;6140;5;1228.0;
32057;Florian;Attinger;SUI;177;6139;5;1227.8;
21813;Oskar;Andren;SWE;177;6139;5;1227.8;
7928;Peter;Bray;GBR;179;6138;5;1227.6;
40519;Filip;Trofast;SWE;180;6137;5;1227.4;
25867;Joseph;Lynch;NZL;181;6132;5;1226.4;
33558;Fricis;Spektors;LAT;182;6129;5;1225.8;
16618;Felix;Spaeth;GER;183;6128;5;1225.6;
25918;Nick;Gebert;SUI;184;6124;5;1224.8;
25347;Vojtech;Sykora;CZE;184;6124;5;1224.8;
21688;Aleksi;Karppinen;FIN;186;6123;5;1224.6;
7117;Marc;Serrallonga Arques;ESP;187;6122;5;1224.4;
42405;Timo;Tantanini;SUI;187;6122;5;1224.4;
6891;Vilius;Aleliunas;LTU;187;6122;5;1224.4;
34083;Jakub;Chaloupsky;CZE;190;6119;5;1223.8;
25454;Mihaly;Ormay;HUN;191;6116;5;1223.2;
13706;Ben;Mitchell;GBR;192;6112;5;1222.4;
23004;Alastair;Thomas;GBR;192;6112;5;1222.4;
28069;Benjamin;Naslund;SWE;194;6110;5;1222.0;
41196;Asbjorn;Kaltoft;DEN;195;6109;5;1221.8;
22966;Anton;Kuukka;FIN;196;6107;5;1221.4;
41130;Oskar;Edvardsson;SWE;196;6107;5;1221.4;
16946;Arttu;Syrjalainen;FIN;198;6106;5;1221.2;
16820;Oskar;Stormer;NOR;199;6105;5;1221.0;
21017;Laurits Bidstrup;Moller;DEN;199;6105;5;1221.0;
28573;Alastair;George;AUS;201;6103;5;1220.6;
40538;Sigurd Paulsen;Vie;NOR;202;6102;5;1220.4;
10316;Hector;Haines;GBR;203;6100;5;1220.0;
40563;August;Mollen;SWE;204;6096;5;1219.2;
41310;Jonas;Andersson;SWE;205;6094;5;1218.8;
27392;Malte Kjaer;Hemmingsen;DEN;206;6092;5;1218.4;
23520;Haakon Raadal;Bjoerlo;NOR;206;6092;5;1218.4;
11107;Simon;Jakobsson;SWE;208;6091;5;1218.2;
10137;Graham;Gristwood;GBR;208;6091;5;1218.2;
46056;Fredrik;Glannefors;SWE;208;6091;5;1218.2;
29755;Daniel;Pompura;SVK;208;6091;5;1218.2;
21663;Tomas;Lima;POR;212;6087;5;1217.4;
34298;Alexandre;Vergnaud;FRA;213;6085;5;1217.0;
18895;Remo;Ruch;SUI;213;6085;5;1217.0;
7860;Marten B;Bostrom;FIN;215;6084;5;1216.8;
37609;Tobias;Alstad;NOR;215;6084;5;1216.8;
21689;Antti;Saikko;FIN;217;6079;5;1215.8;
23290;Riccardo;Casanova;GER;218;6077;5;1215.4;
37174;Antoine;Becaert;FRA;218;6077;5;1215.4;
9766;William;Gardner;GBR;218;6077;5;1215.4;
14593;Jere;Pajunen;FIN;221;6073;5;1214.6;
22599;Henrik;Jonsson;SWE;222;6072;5;1214.4;
37747;Linus Agervig;Kristiansson;DEN;223;6070;5;1214.0;
41311;Hugo;Lilliestrom;SWE;224;6069;5;1213.8;
26797;Niels Christian;Hellerud;NOR;225;6067;5;1213.4;
40370;Florian;Freuler;SUI;225;6067;5;1213.4;
18590;Ludvig;Ahlund;SWE;227;6066;5;1213.2;
18774;Mikko;Knuuttila;FIN;228;6063;5;1212.6;
24933;Jakub;Chupek;SVK;229;6060;5;1212.0;
14617;Artem;Panchenko;UKR;230;6059;5;1211.8;
17066;Janis;Tamuzs;LAT;231;6057;5;1211.4;
33895;Basile;Basset;FRA;231;6057;5;1211.4;
16848;Jussi;Suna;FIN;233;6051;5;1210.2;
38969;Marius;Kaiser;SUI;233;6051;5;1210.2;
41309;Johan;Giberg;SWE;233;6051;5;1210.2;
25428;Itsuki;Ito;JPN;236;6050;5;1210.0;
